"id","wages","count","total_pop","name"
"10001",346200.87,493,"173533","Kent County"
"10003",1078337.34,1448,"556779","New Castle County"
"10005",304949.89,623,"215622","Sussex County"
"1001",400561.21,401,"55347","Autauga County"
"1003",1464150.41,1923,"203709","Baldwin County"
"1005",170190.49,257,"26489","Barbour County"
"1007",38911.73,37,"22583","Bibb County"
"1009",532798.35,1895,"57673","Blount County"
"1011",47199.71,29,"10696","Bullock County"
"1013",35680.33,156,"20154","Butler County"
"1015",452932.88,918,"115620","Calhoun County"
"1017",265359.55,199,"34123","Chambers County"
"1019",51139.01,60,"25859","Cherokee County"
"1021",241824.57,387,"43943","Chilton County"
"1023",143941.26,33,"13170","Choctaw County"
"1025",77773.92,158,"24675","Clarke County"
"1027",25628.06,79,"13555","Clay County"
"1029",5754.55,56,"15018","Cleburne County"
"1031",166620.01,280,"51211","Coffee County"
"1033",324228.28,264,"54354","Colbert County"
"1035",36915.86,70,"12672","Conecuh County"
"1037",970.75,5,"10724","Coosa County"
"1039",68982.9,184,"37835","Covington County"
"1041",28386.94,142,"13963","Crenshaw County"
"1043",241366.42,292,"82005","Cullman County"
"1045",169013.57,199,"49565","Dale County"
"1047",229269.45,566,"41131","Dallas County"
"1049",179418.14,214,"71130","DeKalb County"
"1051",445661.89,436,"81468","Elmore County"
"1053",120201.44,214,"37789","Escambia County"
"1055",360821.94,668,"103057","Etowah County"
"1057",20122.51,29,"16759","Fayette County"
"1059",53379.88,163,"31696","Franklin County"
"1061",31919.02,57,"26777","Geneva County"
"1063",9995.07,22,"8479","Greene County"
"1065",30224.3,86,"15068","Hale County"
"1067",457233.92,170,"17221","Henry County"
"1069",495406.54,826,"104173","Houston County"
"1071",113484.9,192,"52419","Jackson County"
"1073",4748007.96,7947,"660367","Jefferson County"
"1075",19220.98,448,"13886","Lamar County"
"1077",684270.13,586,"92596","Lauderdale County"
"1079",62869.98,104,"33115","Lawrence County"
"1081",1161728.39,931,"156993","Lee County"
"1083",338345.54,491,"91663","Limestone County"
"1085",170404.41,87,"10458","Lowndes County"
"1087",287182.84,72,"19105","Macon County"
"1089",3012942.27,3601,"353089","Madison County"
"1091",160399.65,373,"20028","Marengo County"
"1093",69392.34,63,"30168","Marion County"
"1095",349744.71,555,"94725","Marshall County"
"1097",2573187.87,5555,"415395","Mobile County"
"1099",186824.41,229,"21673","Monroe County"
"11001",14898333.06,7535,"672228","District of Columbia"
"1101",5681134.34,6129,"226519","Montgomery County"
"1103",567481.71,574,"119565","Morgan County"
"1105",89535.92,34,"9652","Perry County"
"1107",650.43,3,"20864","Pickens County"
"1109",110847.89,262,"33046","Pike County"
"1111",7072.7,39,"22696","Randolph County"
"1113",48434.58,119,"59660","Russell County"
"1117",782543.6,1579,"208713","Shelby County"
"1119",15998.77,19,"13103","Sumter County"
"1121",57249.7,177,"80862","Talladega County"
"1123",105171.6,224,"40844","Tallapoosa County"
"1125",457931.98,1134,"203976","Tuscaloosa County"
"1127",112141.55,145,"65294","Walker County"
"1129",44951.58,93,"16804","Washington County"
"1131",20062.73,38,"11059","Wilcox County"
"1133",47249.57,108,"23877","Winston County"
"12001",1161839.91,2116,"259964","Alachua County"
"12003",129274.19,181,"27420","Baker County"
"12005",1329654.42,2666,"181635","Bay County"
"12007",115488.38,185,"26928","Bradford County"
"12009",4287200.79,3211,"568088","Brevard County"
"12011",10989082.85,15119,"1896425","Broward County"
"12013",14592.08,79,"14462","Calhoun County"
"12015",220301.61,536,"173115","Charlotte County"
"12017",547508.23,1339,"141058","Citrus County"
"12019",1693949.91,2175,"203967","Clay County"
"12021",2629536.47,5487,"357305","Collier County"
"12023",119386.53,189,"68348","Columbia County"
"12027",179418.14,214,"35458","DeSoto County"
"12029",6702.48,8,"16203","Dixie County"
"12031",10725537.34,14236,"913010","Duval County"
"12033",2572631,5630,"311003","Escambia County"
"12035",511433.76,642,"105392","Flagler County"
"12037",144716.12,133,"11761","Franklin County"
"12039",499897.6,427,"46036","Gadsden County"
"12041",91969.32,174,"17199","Gilchrist County"
"12043",11885.57,37,"13670","Glades County"
"12045",16377.43,21,"15871","Gulf County"
"12047",21186.38,72,"14295","Hamilton County"
"12049",274630.57,1252,"27502","Hardee County"
"12051",198716.33,584,"39119","Hendry County"
"12053",431523.98,715,"178439","Hernando County"
"12055",441630.85,1858,"99491","Highlands County"
"12057",14256157.8,28470,"1349050","Hillsborough County"
"12059",26800.55,64,"19324","Holmes County"
"12061",534929.81,1324,"147919","Indian River County"
"12063",57067.44,89,"48599","Jackson County"
"12065",28301.31,20,"14081","Jefferson County"
"12067",47074.49,147,"8663","Lafayette County"
"12069",1197086.68,1782,"325875","Lake County"
"12071",3319867.4,4118,"701982","Lee County"
"12073",2826756.73,3912,"286272","Leon County"
"12075",158319.75,372,"39832","Levy County"
"12077",48980.29,27,"8331","Liberty County"
"12079",40916.91,168,"18408","Madison County"
"12081",1585008.77,3479,"363369","Manatee County"
"12083",1068150.15,1996,"343254","Marion County"
"12085",314376,513,"156283","Martin County"
"12086",33807558.89,37140,"2693117","Miami-Dade County"
"12087",731372.82,1084,"77482","Monroe County"
"12089",328910.37,543,"78444","Nassau County"
"12091",1704825.23,2095,"198664","Okaloosa County"
"12093",158070.38,235,"39469","Okeechobee County"
"12095",9951786.75,19086,"1288126","Orange County"
"12097",839048.45,1422,"323993","Osceola County"
"12099",10030090.5,12275,"1422789","Palm Beach County"
"12101",2155995.25,3238,"497909","Pasco County"
"12103",10407785.38,16399,"949827","Pinellas County"
"12105",2884757.51,7682,"650092","Polk County"
"12107",132606.6,220,"72023","Putnam County"
"12109",40841.49,78,"226640","St. Johns County"
"12111",5850.15,67,"298563","St. Lucie County"
"12113",730327.34,1011,"167040","Santa Rosa County"
"12115",2112229.97,3830,"405549","Sarasota County"
"12117",2277674.07,3720,"449144","Seminole County"
"12119",379117.2,771,"118891","Sumter County"
"12121",242796.21,274,"43760","Suwannee County"
"12123",79048.29,164,"22493","Taylor County"
"12125",41543.07,27,"15234","Union County"
"12127",2413928.05,3771,"517887","Volusia County"
"12129",47193.3,138,"31535","Wakulla County"
"12131",328379.09,507,"63508","Walton County"
"12133",97678.95,175,"24687","Washington County"
"13001",116536.15,231,"18454","Appling County"
"13003",38342.35,17,"8398","Atkinson County"
"13005",21626.78,52,"11299","Bacon County"
"13007",4335,12,"3180","Baker County"
"13009",223886.07,323,"45459","Baldwin County"
"13011",11385.51,32,"18495","Banks County"
"13013",150070.88,157,"75370","Barrow County"
"13015",169564.45,249,"102747","Bartow County"
"13017",40465.98,198,"17403","Ben Hill County"
"13019",4691.6,12,"18963","Berrien County"
"13021",1388553.98,2114,"153721","Bibb County"
