,count,fine,id,name,popul
0,759,346200,10001,Kent County,173533
1,1996,1078337,10003,New Castle County,556779
2,678,304949,10005,Sussex County,215622
3,663,400561,1001,Autauga County,55347
4,13407,1464150,1003,Baldwin County,203709
5,318,170190,1005,Barbour County,26489
6,44,38911,1007,Bibb County,22583
7,4931,532798,1009,Blount County,57673
8,48,47199,1011,Bullock County,10696
9,355,35680,1013,Butler County,20154
10,1447,452932,1015,Calhoun County,115620
11,238,265359,1017,Chambers County,34123
12,90,51139,1019,Cherokee County,25859
13,529,241824,1021,Chilton County,43943
14,35,143941,1023,Choctaw County,13170
15,262,77773,1025,Clarke County,24675
16,86,25628,1027,Clay County,13555
17,57,5754,1029,Cleburne County,15018
18,489,166620,1031,Coffee County,51211
19,1493,324228,1033,Colbert County,54354
20,1308,36915,1035,Conecuh County,12672
21,6,970,1037,Coosa County,10724
22,1251,68982,1039,Covington County,37835
23,199,28386,1041,Crenshaw County,13963
24,493,241366,1043,Cullman County,82005
25,292,169013,1045,Dale County,49565
26,862,229269,1047,Dallas County,41131
27,233,179418,1049,DeKalb County,71130
28,547,445661,1051,Elmore County,81468
29,918,120201,1053,Escambia County,37789
30,783,360821,1055,Etowah County,103057
31,43,20122,1057,Fayette County,16759
32,169,53379,1059,Franklin County,31696
33,96,31919,1061,Geneva County,26777
34,41,9995,1063,Greene County,8479
35,91,30224,1065,Hale County,15068
36,398,457233,1067,Henry County,17221
37,6240,495406,1069,Houston County,104173
38,1142,113484,1071,Jackson County,52419
39,19415,4748007,1073,Jefferson County,660367
40,857,19220,1075,Lamar County,13886
41,1265,684270,1077,Lauderdale County,92596
42,359,62869,1079,Lawrence County,33115
43,1490,1161728,1081,Lee County,156993
44,1735,338345,1083,Limestone County,91663
45,114,170404,1085,Lowndes County,10458
46,95,287182,1087,Macon County,19105
47,4972,3012942,1089,Madison County,353089
48,397,160399,1091,Marengo County,20028
49,99,69392,1093,Marion County,30168
50,1228,349744,1095,Marshall County,94725
51,35756,2573187,1097,Mobile County,415395
52,412,186824,1099,Monroe County,21673
53,12635,14898333,11001,District of Columbia,672228
54,6882,5681134,1101,Montgomery County,226519
55,1471,567481,1103,Morgan County,119565
56,49,89535,1105,Perry County,9652
57,7,650,1107,Pickens County,20864
58,313,110847,1109,Pike County,33046
59,77,7072,1111,Randolph County,22696
60,170,48434,1113,Russell County,59660
61,9052,782543,1117,Shelby County,208713
62,20,15998,1119,Sumter County,13103
63,1769,57249,1121,Talladega County,80862
64,270,105171,1123,Tallapoosa County,40844
65,2562,457931,1125,Tuscaloosa County,203976
66,716,112141,1127,Walker County,65294
67,107,44951,1129,Washington County,16804
68,40,20062,1131,Wilcox County,11059
69,815,47249,1133,Winston County,23877
70,2515,1161839,12001,Alachua County,259964
71,274,129274,12003,Baker County,27420
72,3033,1329654,12005,Bay County,181635
73,209,115488,12007,Bradford County,26928
74,5157,4287200,12009,Brevard County,568088
75,20255,10989082,12011,Broward County,1896425
76,123,14592,12013,Calhoun County,14462
77,319974,220301,12015,Charlotte County,173115
78,1440,547508,12017,Citrus County,141058
79,3199,1693949,12019,Clay County,203967
80,8642,2629536,12021,Collier County,357305
81,268,119386,12023,Columbia County,68348
82,233,179418,12027,DeSoto County,35458
83,22,6702,12029,Dixie County,16203
84,24017,10725537,12031,Duval County,913010
85,6462,2572631,12033,Escambia County,311003
86,731,511433,12035,Flagler County,105392
87,161,144716,12037,Franklin County,11761
88,608,499897,12039,Gadsden County,46036
89,215,91969,12041,Gilchrist County,17199
90,94,11885,12043,Glades County,13670
91,34,16377,12045,Gulf County,15871
92,106,21186,12047,Hamilton County,14295
93,1875,274630,12049,Hardee County,27502
94,1749,198716,12051,Hendry County,39119
95,859,431523,12053,Hernando County,178439
96,3315,441630,12055,Highlands County,99491
97,35806,14256157,12057,Hillsborough County,1349050
98,72,26800,12059,Holmes County,19324
99,2099,534929,12061,Indian River County,147919
100,163,57067,12063,Jackson County,48599
101,30,28301,12065,Jefferson County,14081
102,237,47074,12067,Lafayette County,8663
103,2444,1197086,12069,Lake County,325875
104,8356,3319867,12071,Lee County,701982
105,176314,2826756,12073,Leon County,286272
106,475,158319,12075,Levy County,39832
107,30,48980,12077,Liberty County,8331
108,199,40916,12079,Madison County,18408
109,4081,1585008,12081,Manatee County,363369
110,2210,1068150,12083,Marion County,343254
111,692,314376,12085,Martin County,156283
112,48240,33807558,12086,Miami-Dade County,2693117
113,1395,731372,12087,Monroe County,77482
114,639,328910,12089,Nassau County,78444
115,2519,1704825,12091,Okaloosa County,198664
116,605,158070,12093,Okeechobee County,39469
117,25688,9951786,12095,Orange County,1288126
118,2004,839048,12097,Osceola County,323993
119,43685,10030090,12099,Palm Beach County,1422789
120,3871,2155995,12101,Pasco County,497909
121,19666,10407785,12103,Pinellas County,949827
122,10918,2884757,12105,Polk County,650092
123,372,132606,12107,Putnam County,72023
124,84,40841,12109,St. Johns County,226640
125,143,5850,12111,St. Lucie County,298563
126,1225,730327,12113,Santa Rosa County,167040
127,4483,2112229,12115,Sarasota County,405549
128,4509,2277674,12117,Seminole County,449144
129,859,379117,12119,Sumter County,118891
130,567,242796,12121,Suwannee County,43760
131,178,79048,12123,Taylor County,22493
132,34,41543,12125,Union County,15234
133,4481,2413928,12127,Volusia County,517887
134,153,47193,12129,Wakulla County,31535
135,579,328379,12131,Walton County,63508
136,224,97678,12133,Washington County,24687
137,289,116536,13001,Appling County,18454
138,29,38342,13003,Atkinson County,8398
139,85,21626,13005,Bacon County,11299
140,12,4335,13007,Baker County,3180
141,367,223886,13009,Baldwin County,45459
142,57,11385,13011,Banks County,18495
143,173,150070,13013,Barrow County,75370
144,278,169564,13015,Bartow County,102747
145,215,40465,13017,Ben Hill County,17403
146,14,4691,13019,Berrien County,18963
147,2317,1388553,13021,Bibb County,153721
148,175,160910,13023,Bleckley County,12243
149,36,9700,13025,Brantley County,18455
150,77,3106,13027,Brooks County,15658
151,216,99425,13029,Bryan County,35137
152,1780,628943,13031,Bulloch County,72651
153,214,473863,13033,Burke County,22745
154,221,106171,13035,Butts County,23593
155,3,56419,13037,Calhoun County,6479
156,695,264068,13039,Camden County,52102
157,76,37521,13043,Candler County,10886
158,825,424577,13045,Carroll County,114545
159,187,98349,13047,Catoosa County,66050
160,27,4609,13049,Charlton County,12965
161,5645,2353697,13051,Chatham County,286956
162,573,592909,13053,Chattahoochee County,11368
163,87,21768,13055,Chattooga County,24922
164,1255,827071,13057,Cherokee County,235900
165,1227,306710,13059,Clarke County,123912
166,2632,1497153,13063,Clayton County,273955
167,151,26959,13065,Clinch County,6893
168,7575,4390001,13067,Cobb County,741334
169,438,193371,13069,Coffee County,43108
170,536,152697,13071,Colquitt County,45844
171,1342,689056,13073,Columbia County,144052
172,270,101469,13075,Cook County,17124
173,434,237264,13077,Coweta County,138427
174,36,48782,13079,Crawford County,12388
175,196,31562,13081,Crisp County,22881
176,1,0,13083,Dade County,16264
177,124,208222,13085,Dawson County,23312
178,185,165256,13087,Decatur County,27174
179,233,179418,13089,DeKalb County,734871
180,229,158352,13091,Dodge County,20882
181,89,87549,13093,Dooly County,14035
182,1688,709819,13095,Dougherty County,91332
183,547,341051,13097,Douglas County,140733
184,53,7212,13099,Early County,10575
185,0,0,13101,Echols County,4040
186,184,98779,13103,Effingham County,57106
187,58,25169,13105,Elbert County,19364
188,107,68006,13107,Emanuel County,22708
189,369,78995,13109,Evans County,10787
190,81,18031,13111,Fannin County,24303
191,931,647332,13113,Fayette County,110714
192,996,59300,13115,Floyd County,96504
193,1296,1043680,13117,Forsyth County,212438
194,586,214599,13119,Franklin County,22311
195,21252,13245966,13121,Fulton County,1010562
196,94,61352,13123,Gilmer County,29400
197,2,2250,13125,Glascock County,3065
198,2745,1042106,13127,Glynn County,83579
199,422,176625,13129,Gordon County,56574
200,76,29273,13131,Grady County,25205
201,137,52312,13133,Greene County,16710
202,10646,8301830,13135,Gwinnett County,895823
203,478,119127,13137,Habersham County,43996
204,1504,732859,13139,Hall County,193535
205,34,24621,13141,Hancock County,8551
206,79,28702,13143,Haralson County,28854
207,50,26606,13145,Harris County,33381
208,129,50423,13147,Hart County,25534
209,36,6350,13149,Heard County,11539
210,906,610775,13151,Henry County,217739
211,1347,1031186,13153,Houston County,150033
212,43,19956,13155,Irwin County,9245
213,508,217004,13157,Jackson County,63360
214,1,102,13159,Jasper County,13635
215,127,84144,13161,Jeff Davis County,14920
216,45,8225,13163,Jefferson County,16106
217,54,18841,13165,Jenkins County,8957
218,70,15577,13167,Johnson County,9656
219,79,61347,13169,Jones County,28494
220,232,39746,13171,Lamar County,18201
221,21,2228,13173,Lanier County,10312
222,309,124587,13175,Laurens County,47731
223,118,75748,13177,Lee County,29202
224,1879,731521,13179,Liberty County,62467
225,14,13340,13181,Lincoln County,7673
226,22,50616,13183,Long County,17731
227,1428,596455,13185,Lowndes County,112865
228,188,331022,13187,Lumpkin County,31408
229,176,99233,13189,McDuffie County,21540
230,123,39397,13191,McIntosh County,13969
231,79,5698,13193,Macon County,13632
232,62,53053,13195,Madison County,28441
233,185,63510,13197,Marion County,8761
234,896,147659,13199,Meriwether County,21190
235,26,20919,13201,Miller County,5854
236,41,16941,13205,Mitchell County,22574
237,139,199153,13207,Monroe County,27103
238,30,19892,13209,Montgomery County,8951
239,17,7887,13211,Morgan County,18046
240,58,23410,13213,Murray County,39565
241,1675,598193,13215,Muscogee County,200579
242,418,460302,13217,Newton County,105473
243,1258,77158,13219,Oconee County,35965
244,35,21202,13221,Oglethorpe County,14871
