"state_county_FIPS","sum_bw"
"10001",179672.18
"10003",582110.92
"10005",280375.25
"1001",256646.65
"1003",1204895.24
"1005",154100.45
"1007",38911.73
"1009",529074.78
"1011",47199.71
"1013",34146.36
"1015",340403.99
"1017",158145.87
"1019",10226.87
"1021",224806.91
"1023",143941.26
"1025",70293.22
"1027",10500.76
"1029",5754.55
"1031",93299.66
"1033",56362.38
"1035",36165.86
"1037",970.75
"1039",64976.18
"1041",27642.46
"1043",143413.45
"1045",80939.65
"1047",166241.96
"1051",431818.88
"1053",117643.04
"1055",320743.52
"1057",19397.39
"1059",53379.88
"1061",31919.02
"1063",9995.07
"1065",30224.3
"1067",28936.08
"1069",380237.62
"1071",93992.79
"1073",3820038.34
"1075",19220.98
"1077",492778.04
"1079",62048.4
"1081",289764.89
"1083",171740.17
"1085",168134.41
"1087",282843.52
"1089",1884002.74
"1091",148538.26
"1093",6555.26
"1095",313812.66
"1097",2328470.79
"1099",178726.88
"11001",802107.79
"1101",5224778.26
"1103",464694.2
"1105",13034.25
"1107",650.43
"1109",103838.76
"1111",5116.66
"1113",36429.33
"1117",580153.4
"1119",15998.77
"1121",51612.16
"1123",105171.6
"1125",438866.11
"1127",111200.06
"1129",44951.58
"1131",20062.73
"1133",46573.83
"12001",1042273.19
"12003",129274.19
"12005",1081373.58
"12007",115488.38
"12009",1530980.84
"12011",8925741.01
"12013",14592.08
"12015",216416.61
"12017",539010.83
"12019",623259.01
"12021",2426909.93
"12023",83562.94
"12029",5319.75
"12031",9009626.44
"12033",1808408.79
"12035",417665.17
"12037",144716.12
"12039",414270.77
"12041",91969.32
"12043",5069.22
"12045",16367.2
"12047",12027.88
"12049",144576.58
"12051",141292.48
"12053",418126.99
"12055",224414.57
"12057",11944273.03
"12059",26800.55
"12061",501685.57
"12063",57067.44
"12065",28301.31
"12067",46075.09
"12069",802032.72
"12071",2500432.52
"12073",2743706.31
"12075",158319.75
"12077",48980.29
"12079",40916.91
"12081",1265175.79
"12083",854927.05
"12085",293113.05
"12086",28680327.21
"12087",587305.45
"12089",327144.34
"12091",832427.51
"12093",157013.33
"12095",7846657.96
"12097",836175.9
"12099",8133220.73
"12101",1786294.37
"12103",8988813.57
"12105",1942972.68
"12107",124742.95
"12109",0
"12111",4155.93
"12113",557670.03
"12115",1850049.16
"12117",1589524.17
"12119",320608.94
"12121",177480.24
"12123",79048.29
"12125",38918.81
"12127",2267750.67
"12129",47193.3
"12131",293459.98
"12133",70296.52
"13001",32960.87
"13003",38342.35
"13005",14224.59
"13007",4335
"13009",221222.6
"13011",4989.7
"13013",150070.88
"13015",163808.58
"13017",40465.98
"13019",4691.6
"13021",1233711.17
"13023",5905.15
"13025",9700.33
"13027",3106.58
"13029",70363.72
"13031",392021.43
"13033",468667.41
"13035",106171.35
"13037",4345
"13039",175297.54
"13043",7500.31
"13045",309725.64
"13047",98349.59
"13049",4609.04
"13051",1693054.92
"13053",4112.05
"13055",21688.91
"13057",404469.67
"13059",209040.91
"13063",1301361.93
"13065",17949.26
"13067",3208583.46
"13069",166710.18
"13071",101559.75
"13073",499625.93
"13075",101469.39
"13077",206833.84
"13079",48782.86
"13081",31562.19
"13083",0
"13085",60791.01
"13087",108471.19
"13091",137862.01
"13093",87549.46
"13095",635924.18
"13097",332383.64
"13099",6891.97
"13101",0
"13103",94730.38
"13105",25169.3
"13107",21187.23
"13109",59149.2
"13111",18031.69
"13113",356389.15
"13115",59165.18
"13117",885859.06
"13119",203301.03
"13121",7880572.25
"13123",61352.18
"13125",2250.75
"13127",658224.43
"13129",176625.66
"13131",29273.33
"13133",47284.33
"13135",5635478.55
"13137",54531.72
"13139",640519.46
"13141",24621.86
"13143",28702.99
"13145",1784.67
"13147",50423.05
"13149",6350.28
"13151",581363.01
"13153",394180.82
"13155",19956.88
"13157",213756.61
"13159",102.72
"13161",84144.4
"13163",8225.56
"13165",18841.19
"13167",15577.02
"13169",57605.83
"13171",37125
"13173",2228.46
"13175",88178.48
"13177",75748.11
"13179",180297.73
"13181",13340.16
"13183",50616.1
"13185",488891.59
"13187",57718.45
"13189",99233.75
"13191",37761.31
"13193",5698.67
"13195",53053.17
"13197",63510.49
"13199",5227.11
"13201",20919.27
"13205",16941.78
"13207",76733.77
"13209",19892.07
"13211",7887.35
"13213",23410.78
"13215",364169.2
"13217",319566.44
"13219",77158.71
"13221",21202.47
"13223",194263.73
"13225",159036.11
"13227",92530.17
"13229",203928
"13231",34769.55
"13233",214808.28
"13235",14017.67
"13237",11977.29
"13241",3060.1
"13243",0
"13245",734125.34
"13247",365910.18
"13251",43127.26
"13253",520
"13255",50439.44
"13257",98974.5
"13259",10043.76
"13261",16711.01
"13265",4787.74
